created_at,series_id,domain,timestamp,last_value,predicted_next_value,change_pct,signal,warning,lower_bound,upper_bound,baseline,deviation_pct
2026-08-07 00:22:36.305959,BBCA_JK,stock,2026-08-06 16:00:00,6350.0,6376.470314139912,0.417,FLAT,False,6330.62511384613,6412.669970243969,,
2026-08-07 01:08:59.047863,BTC_USD,crypto,2026-08-06 18:00:00,64420.2890625,64524.51389892467,,,,,,,
2026-08-07 01:08:59.143988,LOAD_JKT,energy,2026-08-06 00:00:00,14412.0,13879.189064086706,,,,,,,
2026-08-07 01:08:59.198327,CHILI_JKT,food,2026-08-06 00:00:00,44270.0,44749.15538528399,,,,,,,
2026-08-07 01:08:59.251932,RICE_JKT,food,2026-08-06 00:00:00,13464.0,13473.854803518689,,,,,,,
2026-08-07 01:08:59.304276,BBCA_JK,stock,2026-08-06 16:00:00,6350.0,6376.470314139912,,,,,,,
2026-08-07 01:20:58.188080,BTC_USD,crypto,2026-08-06 18:00:00,64420.2890625,64524.51389892467,0.162,FLAT,False,64345.56988437745,64824.95726152594,,
2026-08-07 01:20:58.291786,LOAD_JKT,energy,2026-08-06 00:00:00,14412.0,13879.189064086706,-3.697,DOWN,False,13827.130114700543,14169.704761546596,13684.37,1.424
2026-08-07 01:20:58.349143,CHILI_JKT,food,2026-08-06 00:00:00,44270.0,44749.15538528399,1.082,UP,False,44192.88130020036,46028.98862135797,45503.36,-1.657
2026-08-07 01:20:58.411115,RICE_JKT,food,2026-08-06 00:00:00,13464.0,13473.854803518689,0.073,FLAT,False,13373.088127422165,13717.629489956604,13519.76,-0.34
2026-08-07 01:20:58.476162,BBCA_JK,stock,2026-08-06 16:00:00,6350.0,6376.470314139912,0.417,FLAT,False,6330.62511384613,6412.669970243969,,
2026-08-07 01:22:53.688537,BTC_USD,crypto,2026-08-06 18:00:00,64420.2890625,64524.51389892467,0.162,FLAT,False,64345.56988437745,64824.95726152594,,
