series_id,timestamp,predicted,actual,abs_error,ape_pct,within_80
BTC_USD,2026-08-06 07:00:00,64638.459335772815,64873.6015625,235.1422267271846,0.36246211257539906,
BTC_USD,2026-08-06 14:00:00,64381.88267452813,64570.921875,189.03920047186693,0.29276212106405974,
BTC_USD,2026-08-06 15:00:00,64533.22954448853,64690.12890625,156.89936176146875,0.24253988114454045,
BTC_USD,2026-08-06 16:00:00,64417.39215408645,64557.16015625,139.76800216355332,0.2165027114347469,True
BTC_USD,2026-08-06 17:00:00,64550.49314361558,64356.3515625,194.14158111558208,0.3016665432424964,False
BTC_USD,2026-08-06 18:00:00,64579.614301005546,64397.94921875,181.6650822555457,0.28209762028051105,True
BTC_USD,2026-08-06 19:00:00,64740.18456689854,64381.3984375,358.78612939854065,0.5572822866636581,True
BTC_USD,2026-08-06 20:00:00,64459.36484640398,64388.37109375,70.99375265397975,0.11025865610206578,True
BBCA_JK,2026-08-06 16:00:00,6376.470314139912,6400.0,23.52968586008774,0.3676513415638709,True
BTC_USD,2026-08-07 03:00:00,64437.88783753421,64191.671875,246.21596253421012,0.3835637168224326,True
BBCA_JK,2026-08-07 10:00:00,6459.741430829941,6350.0,109.74143082994124,1.728211509132933,False
BTC_USD,2026-08-07 04:00:00,64336.845574722014,64276.05859375,60.786980972014135,0.09457173059756478,True
BTC_USD,2026-08-07 05:00:00,64190.858179122566,64242.3984375,51.54025837743393,0.08022779290778861,True
